scene,floor,source_question,primary_object,distance_m,predicate,msp_question
00506-QVAA6zecMHu,0,Which pillows are there on the bed right now?,pillows,2.6,right of,Where is 2.6 meters right of the pillows?
00410-v7DzfFFEpsD,1,Which pillow is there on the armchair in the main bedroom?,pillow,0.8,in front of,Where is 0.8 meters in front of the pillow?
00410-v7DzfFFEpsD,1,Which pillow is there on the armchair in the main bedroom?,pillow,3.0,right of,Where is 3.0 meters right of the pillow?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,0.2,left of,Where is 0.2 meters left of the living room light?
00582-TYDavTf8oyy,1,I'm trying to remember where I placed the candle holder. Where is it in the dining room?,candle holder,1.2,right of,Where is 1.2 meters right of the candle holder?
00669-DNWbUAJYsPy,0,I wanna shower now. Is there any towel there?,towel,3.2,left of,Where is 3.2 meters left of the towel?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,0.4,right of,Where is 0.4 meters right of the kitchen sink?
00149-UuwwmrTsfBN,1,Is the patio door next to the dining table open?,patio door,2.8,right of,Where is 2.8 meters right of the patio door?
00386-b3WpMbPFB6q,0,Is my jacket left on the staircase?,jacket,0.6,behind,Where is 0.6 meters behind the jacket?
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,1.4,above,Where is 1.4 meters above the silver trash can?
00757-LVgQNuK8vtv,2,"What did I leave on the toilet, the one with flower painting?",toilet,2.2,below,Where is 2.2 meters below the toilet?
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,2.6,above,Where is 2.6 meters above the gray curtain?
00669-DNWbUAJYsPy,0,I wanna shower now. Is there any towel there?,towel,2.8,above,Where is 2.8 meters above the towel?
00326-u9rPN5cHWBg,0,Are the bedroom lamps on?,bedroom lamps,0.6,below,Where is 0.6 meters below the bedroom lamps?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,2.4,above,Where is 2.4 meters above the fan?
