scene,floor,source_question,primary_object,distance_m,predicate,msp_question
00323-yHLr6bvWsVm,0,Does the dining table have any fruit bowl on it?,fruit bowl,2.6,left of,Where is 2.6 meters left of the fruit bowl?
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,0.8,left of,Where is 0.8 meters left of the wall clock?
00366-fxbzYAGkrtm,1,How many pillows I put on the bed with red bedding?,pillows,0.2,behind,Where is 0.2 meters behind the pillows?
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,kitchen sink,1.6,left of,Where is 1.6 meters left of the kitchen sink?
00135-HeSYRw7eMtG,1,What time is it now?,clock,3.4,left of,Where is 3.4 meters left of the clock?
00155-iLDo95ZbDJq,0,"Is the bedroom closet open or closed, the bedroom with horse painting?",bedroom closet,1.8,below,Where is 1.8 meters below the bedroom closet?
00720-8B43pG641ff,0,Did my daughter remember to put the piano lid down?,piano lid,2.6,behind,Where is 2.6 meters behind the piano lid?
00410-v7DzfFFEpsD,1,Which pillow is there on the armchair in the main bedroom?,pillow,1.2,left of,Where is 1.2 meters left of the pillow?
00547-9h5JJxM6E5S,0,How many umbrellas are there in the ceramic vase near the staircase?,umbrellas,3.2,in front of,Where is 3.2 meters in front of the umbrellas?
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,pillows,4.0,right of,Where is 4.0 meters right of the pillows?
00466-xAHnY3QzFUN,0,Is the bathroom door fully closed?,bathroom door,3.8,below,Where is 3.8 meters below the bathroom door?
00547-9h5JJxM6E5S,0,Guest is coming. Is the fruit bowl on the kitchen island already?,fruit bowl,3.8,above,Where is 3.8 meters above the fruit bowl?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,1.2,right of,Where is 1.2 meters right of the dining chairs?
00299-bdp1XNEdvmW,0,How many sports balls are stored on the rack in the hallway?,sports balls,3.0,right of,Where is 3.0 meters right of the sports balls?
00262-1xGrZPxG1Hz,0,Is the wooden chair left in a room?,wooden chair,1.4,in front of,Where is 1.4 meters in front of the wooden chair?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,2.6,above,Where is 2.6 meters above the decorative owl?
